Borough,District,School,School Name,School Category,Program,Language,Language (Translated),General/Special Education,Special Education Model,School Address,Address,Borough_check,State,Zipcode,schools_language
Manhattan,3,03M402,The Urban Assembly School for Green Careers,High school,Dual Language,Spanish,Español,General Education,Not Applicable,"145 WEST 84 STREET, MANHATTAN, NY, 10024",145 WEST 84 STREET,Manhattan,NY,10024,13
Manhattan,3,03M402,The Urban Assembly School for Green Careers,High school,Transitional Bilingual Education,Spanish,Español,Special Education,15:1,"145 WEST 84 STREET, MANHATTAN, NY, 10024",145 WEST 84 STREET,Manhattan,NY,10024,13
Manhattan,4,04M057,James Weldon Johnson,K-8,Dual Language,Spanish,Español,General Education,Not Applicable,"176 EAST 115 STREET, MANHATTAN, NY, 10029",176 EAST 115 STREET,Manhattan,NY,10029,14
Manhattan,4,04M072,The Lexington Academy,K-8,Dual Language,Spanish,Español,General Education,Not Applicable,"131 EAST 104 STREET, MANHATTAN, NY, 10029",131 EAST 104 STREET,Manhattan,NY,10029,14
Manhattan,4,04M096,P.S. 096 Joseph Lanzetta,K-8,Dual Language,Spanish,Español,General Education,Not Applicable,"216 EAST 120 STREET, MANHATTAN, NY, 10035",216 EAST 120 STREET,Manhattan,NY,10035,14
Manhattan,4,04M112,P.S. 112 Jose Celso Barbosa,Early Childhood,Dual Language,Spanish,Español,Special Education,ICT,"535 EAST 119 STREET, MANHATTAN, NY, 10035",535 EAST 119 STREET,Manhattan,NY,10035,14
Manhattan,4,04M155,P.S. 155 William Paca,Elementary,Dual Language,Spanish,Español,General Education,Not Applicable,"319 EAST 117 STREET, MANHATTAN, NY, 10035",319 EAST 117 STREET,Manhattan,NY,10035,14
Manhattan,4,04M182,The Bilingual Bicultural School,Elementary,Dual Language,Spanish,Español,General Education,Not Applicable,"219 EAST 109 STREET, MANHATTAN, NY, 10029",219 EAST 109 STREET,Manhattan,NY,10029,14
Manhattan,4,04M182,The Bilingual Bicultural School,Elementary,Dual Language,Spanish,Español,Special Education,ICT,"219 EAST 109 STREET, MANHATTAN, NY, 10029",219 EAST 109 STREET,Manhattan,NY,10029,14
Manhattan,4,04M206,P.S. 206 Jose Celso Barbosa,K-8,Dual Language,Spanish,Español,General Education,Not Applicable,"508 EAST 120 STREET, MANHATTAN, NY, 10035",508 EAST 120 STREET,Manhattan,NY,10035,14
Manhattan,4,04M206,P.S. 206 Jose Celso Barbosa,K-8,Dual Language,Spanish,Español,Special Education,ICT,"508 EAST 120 STREET, MANHATTAN, NY, 10035",508 EAST 120 STREET,Manhattan,NY,10035,14
Manhattan,4,04M372,Esperanza Preparatory Academy,Secondary School,Dual Language,Spanish,Español,General Education,Not Applicable,"240 EAST 109 STREET, MANHATTAN, NY, 10029",240 EAST 109 STREET,Manhattan,NY,10029,14
Manhattan,4,04M372,Esperanza Preparatory Academy,Secondary School,Dual Language,Spanish,Español,Special Education,ICT,"240 EAST 109 STREET, MANHATTAN, NY, 10029",240 EAST 109 STREET,Manhattan,NY,10029,14
Manhattan,4,04M372,Esperanza Preparatory Academy,Secondary School,Transitional Bilingual Education,Spanish,Español,General Education,Not Applicable,"240 EAST 109 STREET, MANHATTAN, NY, 10029",240 EAST 109 STREET,Manhattan,NY,10029,14
Manhattan,4,04M435,Manhattan Center for Science and Mathematics,High school,Transitional Bilingual Education,Spanish,Español,General Education,Not Applicable,"260 PLEASANT AVENUE, MANHATTAN, NY, 10029",260 PLEASANT AVENUE,Manhattan,NY,10029,14
Manhattan,4,04M505,Edward A. Reynolds West Side High School,High school,Dual Language,Spanish,Español,General Education,Not Applicable,"105 EAST 106 STREET, NEW YORK, NY, 10029",105 EAST 106 STREET,New York,NY,10029,14
Manhattan,5,05M129,P.S. 129 John H. Finley,Elementary,Dual Language,Spanish,Español,General Education,Not Applicable,"425 WEST 130 STREET, MANHATTAN, NY, 10027",425 WEST 130 STREET,Manhattan,NY,10027,4
Manhattan,5,05M161,P.S. 161 Pedro Albizu Campos,K-8,Dual Language,Spanish,Español,General Education,Not Applicable,"499 WEST 133 STREET, MANHATTAN, NY, 10027",499 WEST 133 STREET,Manhattan,NY,10027,4
Manhattan,5,05M161,P.S. 161 Pedro Albizu Campos,K-8,Transitional Bilingual Education,Spanish,Español,Special Education,12:1:1,"499 WEST 133 STREET, MANHATTAN, NY, 10027",499 WEST 133 STREET,Manhattan,NY,10027,4
Manhattan,5,05M304,Mott Hall High School,High school,Transitional Bilingual Education,Spanish,Español,Special Education,ICT,"6 EDGECOMBE AVENUE, MANHATTAN, NY, 10030",6 EDGECOMBE AVENUE,Manhattan,NY,10030,4
Manhattan,6,06M004,P.S. 004 Duke Ellington,Elementary,Dual Language,Spanish,Español,General Education,Not Applicable,"500 WEST 160 STREET, MANHATTAN, NY, 10032",500 WEST 160 STREET,Manhattan,NY,10032,56
Manhattan,6,06M005,P.S. 005 Ellen Lurie,Elementary,Dual Language,Spanish,Español,General Education,Not Applicable,"3703 TENTH AVENUE, MANHATTAN, NY, 10034",3703 TENTH AVENUE,Manhattan,NY,10034,56
Manhattan,6,06M005,P.S. 005 Ellen Lurie,Elementary,Dual Language,Spanish,Español,Special Education,ICT,"3703 TENTH AVENUE, MANHATTAN, NY, 10034",3703 TENTH AVENUE,Manhattan,NY,10034,56
Manhattan,6,06M005,P.S. 005 Ellen Lurie,Elementary,Transitional Bilingual Education,Spanish,Español,Special Education,12:1:1,"3703 TENTH AVENUE, MANHATTAN, NY, 10034",3703 TENTH AVENUE,Manhattan,NY,10034,56
Manhattan,6,06M008,P.S. 008 Luis Belliard,Elementary,Dual Language,Spanish,Español,General Education,Not Applicable,"465 WEST 167 STREET, MANHATTAN, NY, 10032",465 WEST 167 STREET,Manhattan,NY,10032,56
Manhattan,6,06M018,P.S. 018 Park Terrace,K-8,Transitional Bilingual Education,Spanish,Español,General Education,Not Applicable,"3761 10 AVENUE, MANHATTAN, NY, 10034",3761 10 AVENUE,Manhattan,NY,10034,56
Manhattan,6,06M028,P.S. 028 Wright Brothers,Elementary,Dual Language,Spanish,Español,General Education,Not Applicable,"475 WEST 155 STREET, MANHATTAN, NY, 10032",475 WEST 155 STREET,Manhattan,NY,10032,56
Manhattan,6,06M028,P.S. 028 Wright Brothers,Elementary,Transitional Bilingual Education,Spanish,Español,Special Education,12:1:1,"475 WEST 155 STREET, MANHATTAN, NY, 10032",475 WEST 155 STREET,Manhattan,NY,10032,56
Manhattan,6,06M028,P.S. 028 Wright Brothers,Elementary,Transitional Bilingual Education,Spanish,Español,Special Education,ICT,"475 WEST 155 STREET, MANHATTAN, NY, 10032",475 WEST 155 STREET,Manhattan,NY,10032,56
Manhattan,6,06M048,P.S. 048 P.O. Michael J. Buczek,Elementary,Dual Language,Spanish,Español,General Education,Not Applicable,"4360-78 BROADWAY, MANHATTAN, NY, 10033",4360-78 BROADWAY,Manhattan,NY,10033,56
Manhattan,6,06M048,P.S. 048 P.O. Michael J. Buczek,Elementary,Transitional Bilingual Education,Spanish,Español,Special Education,12:1:1,"4360-78 BROADWAY, MANHATTAN, NY, 10033",4360-78 BROADWAY,Manhattan,NY,10033,56
Manhattan,6,06M052,Harold O. Levy School,Junior High-Intermediate-Middle,Transitional Bilingual Education,Spanish,Español,General Education,Not Applicable,"650 ACADEMY STREET, MANHATTAN, NY, 10034",650 ACADEMY STREET,Manhattan,NY,10034,56
Manhattan,6,06M052,Harold O. Levy School,Junior High-Intermediate-Middle,Transitional Bilingual Education,Spanish,Español,Special Education,12:1:1,"650 ACADEMY STREET, MANHATTAN, NY, 10034",650 ACADEMY STREET,Manhattan,NY,10034,56
Manhattan,6,06M098,P.S. 098 Shorac Kappock,Elementary,Dual Language,Spanish,Español,General Education,Not Applicable,"512 WEST 212 STREET, MANHATTAN, NY, 10034",512 WEST 212 STREET,Manhattan,NY,10034,56
Manhattan,6,06M098,P.S. 098 Shorac Kappock,Elementary,Dual Language,Spanish,Español,Special Education,ICT,"512 WEST 212 STREET, MANHATTAN, NY, 10034",512 WEST 212 STREET,Manhattan,NY,10034,56
Manhattan,6,06M103,Dos Puentes Elementary School,Elementary,Dual Language,Spanish,Español,General Education,Not Applicable,"185 WADSWORTH AVENUE, MANHATTAN, NY, 10033",185 WADSWORTH AVENUE,Manhattan,NY,10033,56
Manhattan,6,06M103,Dos Puentes Elementary School,Elementary,Dual Language,Spanish,Español,Special Education,ICT,"185 WADSWORTH AVENUE, MANHATTAN, NY, 10033",185 WADSWORTH AVENUE,Manhattan,NY,10033,56
Manhattan,6,06M115,P.S. 115 Alexander Humboldt,Elementary,Transitional Bilingual Education,Spanish,Español,General Education,Not Applicable,"586 WEST 177 STREET, MANHATTAN, NY, 10033",586 WEST 177 STREET,Manhattan,NY,10033,56
Manhattan,6,06M128,P.S. 128 Audubon,Elementary,Dual Language,Spanish,Español,General Education,Not Applicable,"560 WEST 169 STREET, MANHATTAN, NY, 10032",560 WEST 169 STREET,Manhattan,NY,10032,56
Manhattan,6,06M128,P.S. 128 Audubon,Elementary,Transitional Bilingual Education,Spanish,Español,Special Education,12:1:1,"560 WEST 169 STREET, MANHATTAN, NY, 10032",560 WEST 169 STREET,Manhattan,NY,10032,56
Manhattan,6,06M132,P.S. 132 Juan Pablo Duarte,Elementary,Dual Language,Spanish,Español,General Education,Not Applicable,"185 WADSWORTH AVENUE, MANHATTAN, NY, 10033",185 WADSWORTH AVENUE,Manhattan,NY,10033,56
Manhattan,6,06M143,J.H.S. 143 Eleanor Roosevelt,Junior High-Intermediate-Middle,Transitional Bilingual Education,Spanish,Español,General Education,Not Applicable,"511 WEST 182 STREET, MANHATTAN, NY, 10033",511 WEST 182 STREET,Manhattan,NY,10033,56
Manhattan,6,06M143,J.H.S. 143 Eleanor Roosevelt,Junior High-Intermediate-Middle,Transitional Bilingual Education,Spanish,Español,Special Education,12:1:1,"511 WEST 182 STREET, MANHATTAN, NY, 10033",511 WEST 182 STREET,Manhattan,NY,10033,56
Manhattan,6,06M152,P.S. 152 Dyckman Valley,Elementary,Transitional Bilingual Education,Spanish,Español,General Education,Not Applicable,"93 NAGLE AVENUE, MANHATTAN, NY, 10040",93 NAGLE AVENUE,Manhattan,NY,10040,56
Manhattan,6,06M153,P.S. 153 Adam Clayton Powell,Elementary,Dual Language,Spanish,Español,General Education,Not Applicable,"1750 AMSTERDAM AVENUE, MANHATTAN, NY, 10031",1750 AMSTERDAM AVENUE,Manhattan,NY,10031,56
Manhattan,6,06M173,P.S. 173,Elementary,Transitional Bilingual Education,Spanish,Español,General Education,Not Applicable,"306 FORT WASHINGTON AVENUE, MANHATTAN, NY, 10033",306 FORT WASHINGTON AVENUE,Manhattan,NY,10033,56
Manhattan,6,06M173,P.S. 173,Elementary,Transitional Bilingual Education,Spanish,Español,Special Education,ICT,"306 FORT WASHINGTON AVENUE, MANHATTAN, NY, 10033",306 FORT WASHINGTON AVENUE,Manhattan,NY,10033,56
Manhattan,6,06M178,Professor Juan Bosch Public School,Elementary,Dual Language,Spanish,Español,General Education,Not Applicable,"12-18 ELLWOOD STREET, MANHATTAN, NY, 10040",12-18 ELLWOOD STREET,Manhattan,NY,10040,56
Manhattan,6,06M189,P.S. 189,Elementary,Transitional Bilingual Education,Spanish,Español,General Education,Not Applicable,"2580 AMSTERDAM AVENUE, MANHATTAN, NY, 10040",2580 AMSTERDAM AVENUE,Manhattan,NY,10040,56
Manhattan,6,06M189,P.S. 189,Elementary,Transitional Bilingual Education,Spanish,Español,Special Education,12:1,"2580 AMSTERDAM AVENUE, MANHATTAN, NY, 10040",2580 AMSTERDAM AVENUE,Manhattan,NY,10040,56
Manhattan,6,06M189,P.S. 189,Elementary,Transitional Bilingual Education,Spanish,Español,Special Education,12:1:1,"2580 AMSTERDAM AVENUE, MANHATTAN, NY, 10040",2580 AMSTERDAM AVENUE,Manhattan,NY,10040,56
Manhattan,6,06M210,P.S./I.S. 210 - Twenty-first Century Academy for Community Leadership,K-8,Dual Language,Spanish,Español,General Education,Not Applicable,"501-503 WEST 152 STREET, MANHATTAN, NY, 10031",501-503 WEST 152 STREET,Manhattan,NY,10031,56
Manhattan,6,06M210,P.S./I.S. 210 - Twenty-first Century Academy for Community Leadership,K-8,Dual Language,Spanish,Español,Special Education,ICT,"501-503 WEST 152 STREET, MANHATTAN, NY, 10031",501-503 WEST 152 STREET,Manhattan,NY,10031,56
Manhattan,6,06M311,Amistad Dual Language School,K-8,Dual Language,Spanish,Español,General Education,Not Applicable,"4862 BROADWAY, MANHATTAN, NY, 10034",4862 BROADWAY,Manhattan,NY,10034,56
Manhattan,6,06M311,Amistad Dual Language School,K-8,Dual Language,Spanish,Español,Special Education,12:1:1,"4862 BROADWAY, MANHATTAN, NY, 10034",4862 BROADWAY,Manhattan,NY,10034,56
Manhattan,6,06M311,Amistad Dual Language School,K-8,Dual Language,Spanish,Español,Special Education,ICT,"4862 BROADWAY, MANHATTAN, NY, 10034",4862 BROADWAY,Manhattan,NY,10034,56
Manhattan,6,06M319,M.S. 319 - Maria Teresa,Junior High-Intermediate-Middle,Dual Language,Spanish,Español,General Education,Not Applicable,"21 JUMEL PLACE, MANHATTAN, NY, 10032",21 JUMEL PLACE,Manhattan,NY,10032,56
Manhattan,6,06M319,M.S. 319 - Maria Teresa,Junior High-Intermediate-Middle,Transitional Bilingual Education,Spanish,Español,Special Education,12:1:1,"21 JUMEL PLACE, MANHATTAN, NY, 10032",21 JUMEL PLACE,Manhattan,NY,10032,56
Manhattan,6,06M322,Middle School 322,Junior High-Intermediate-Middle,Transitional Bilingual Education,Spanish,Español,General Education,Not Applicable,"4600 BROADWAY, MANHATTAN, NY, 10040",4600 BROADWAY,Manhattan,NY,10040,56
Manhattan,6,06M324,M.S. 324 - Patria Mirabal,Junior High-Intermediate-Middle,Transitional Bilingual Education,Spanish,Español,General Education,Not Applicable,"21 JUMEL PLACE, MANHATTAN, NY, 10032",21 JUMEL PLACE,Manhattan,NY,10032,56
Manhattan,6,06M324,M.S. 324 - Patria Mirabal,Junior High-Intermediate-Middle,Transitional Bilingual Education,Spanish,Español,Special Education,12:1:1,"21 JUMEL PLACE, MANHATTAN, NY, 10032",21 JUMEL PLACE,Manhattan,NY,10032,56
Manhattan,6,06M328,Community Math & Science Prep,Junior High-Intermediate-Middle,Dual Language,Spanish,Español,General Education,Not Applicable,"401 WEST 164 STREET, MANHATTAN, NY, 10032",401 WEST 164 STREET,Manhattan,NY,10032,56
Manhattan,6,06M328,Community Math & Science Prep,Junior High-Intermediate-Middle,Transitional Bilingual Education,Spanish,Español,Special Education,12:1:1,"401 WEST 164 STREET, MANHATTAN, NY, 10032",401 WEST 164 STREET,Manhattan,NY,10032,56
Manhattan,6,06M348,Washington Heights Expeditionary Learning School,K-12 all grades,Dual Language,Spanish,Español,General Education,Not Applicable,"511 WEST 182 STREET, MANHATTAN, NY, 10033",511 WEST 182 STREET,Manhattan,NY,10033,56
Manhattan,6,06M348,Washington Heights Expeditionary Learning School,K-12 all grades,Dual Language,Spanish,Español,Special Education,ICT,"511 WEST 182 STREET, MANHATTAN, NY, 10033",511 WEST 182 STREET,Manhattan,NY,10033,56
Manhattan,6,06M462,The College Academy,High school,Dual Language,Spanish,Español,General Education,Not Applicable,"549 AUDUBON AVENUE, MANHATTAN, NY, 10040",549 AUDUBON AVENUE,Manhattan,NY,10040,56
Manhattan,6,06M463,High School for Media and Communications,High school,Transitional Bilingual Education,Spanish,Español,General Education,Not Applicable,"549 AUDUBON AVENUE, MANHATTAN, NY, 10040",549 AUDUBON AVENUE,Manhattan,NY,10040,56
Manhattan,6,06M467,High School for Law and Public Service,High school,Transitional Bilingual Education,Spanish,Español,General Education,Not Applicable,"549 AUDUBON AVENUE, MANHATTAN, NY, 10040",549 AUDUBON AVENUE,Manhattan,NY,10040,56
Manhattan,6,06M467,High School for Law and Public Service,High school,Transitional Bilingual Education,Spanish,Español,Special Education,ICT,"549 AUDUBON AVENUE, MANHATTAN, NY, 10040",549 AUDUBON AVENUE,Manhattan,NY,10040,56
Manhattan,6,06M468,High School for Health Careers and Sciences,High school,Dual Language,Spanish,Español,General Education,Not Applicable,"549 AUDUBON AVENUE, MANHATTAN, NY, 10040",549 AUDUBON AVENUE,Manhattan,NY,10040,56
Manhattan,6,06M468,High School for Health Careers and Sciences,High school,Transitional Bilingual Education,Spanish,Español,General Education,Not Applicable,"549 AUDUBON AVENUE, MANHATTAN, NY, 10040",549 AUDUBON AVENUE,Manhattan,NY,10040,56
Manhattan,6,06M513,Castle Bridge School,Elementary,Dual Language,Spanish,Español,Special Education,ICT,"560 WEST 169 STREET, MANHATTAN, NY, 10032",560 WEST 169 STREET,Manhattan,NY,10032,56
Manhattan,6,06M528,I.S. 528 Bea Fuller Rodgers School,Junior High-Intermediate-Middle,Transitional Bilingual Education,Spanish,Español,General Education,Not Applicable,"180 WADSWORTH AVENUE, MANHATTAN, NY, 10033",180 WADSWORTH AVENUE,Manhattan,NY,10033,56
Manhattan,6,06M540,A. Philip Randolph Campus High School,High school,Dual Language,Spanish,Español,General Education,Not Applicable,"443 WEST 135 STREET, MANHATTAN, NY, 10031",443 WEST 135 STREET,Manhattan,NY,10031,56
Manhattan,6,06M552,Gregorio Luperon High School for Science and Mathematics,High school,Dual Language,Spanish,Español,General Education,Not Applicable,"501 WEST 165TH STREET, MANHATTAN, NY, 10032",501 WEST 165TH STREET,Manhattan,NY,10032,56
Manhattan,6,06M552,Gregorio Luperon High School for Science and Mathematics,High school,Transitional Bilingual Education,Spanish,Español,General Education,Not Applicable,"501 WEST 165TH STREET, MANHATTAN, NY, 10032",501 WEST 165TH STREET,Manhattan,NY,10032,56
Bronx,7,07X005,P.S. 5 Port Morris,K-8,Dual Language,Spanish,Español,General Education,Not Applicable,"564 JACKSON AVENUE, BRONX, NY, 10455",564 JACKSON AVENUE,Bronx,NY,10455,14
Bronx,7,07X005,P.S. 5 Port Morris,K-8,Transitional Bilingual Education,Spanish,Español,General Education,Not Applicable,"564 JACKSON AVENUE, BRONX, NY, 10455",564 JACKSON AVENUE,Bronx,NY,10455,14
Bronx,7,07X018,P.S. 018 John Peter Zenger,Elementary,Dual Language,Spanish,Español,General Education,Not Applicable,"502 MORRIS AVENUE, BRONX, NY, 10451",502 MORRIS AVENUE,Bronx,NY,10451,14
Bronx,7,07X025,P.S. 025 Bilingual School,Elementary,Dual Language,Spanish,Español,General Education,Not Applicable,"811 EAST 149 STREET, BRONX, NY, 10455",811 EAST 149 STREET,Bronx,NY,10455,14
Bronx,7,07X025,P.S. 025 Bilingual School,Elementary,Transitional Bilingual Education,Spanish,Español,General Education,Not Applicable,"811 EAST 149 STREET, BRONX, NY, 10455",811 EAST 149 STREET,Bronx,NY,10455,14
Bronx,7,07X025,P.S. 025 Bilingual School,Elementary,Transitional Bilingual Education,Spanish,Español,Special Education,12:1:1,"811 EAST 149 STREET, BRONX, NY, 10455",811 EAST 149 STREET,Bronx,NY,10455,14
Bronx,7,07X029,P.S./M.S. 029 Melrose School,K-8,Transitional Bilingual Education,Spanish,Español,General Education,Not Applicable,"758 COURTLANDT AVENUE, BRONX, NY, 10451",758 COURTLANDT AVENUE,Bronx,NY,10451,14
Bronx,7,07X030,P.S. 030 Wilton,Elementary,Dual Language,Spanish,Español,General Education,Not Applicable,"510 EAST 141 STREET, BRONX, NY, 10454",510 EAST 141 STREET,Bronx,NY,10454,14
Bronx,7,07X049,P.S. 049 Willis Avenue,Elementary,Dual Language,Spanish,Español,General Education,Not Applicable,"383 EAST 139 STREET, BRONX, NY, 10454",383 EAST 139 STREET,Bronx,NY,10454,14
Bronx,7,07X049,P.S. 049 Willis Avenue,Elementary,Transitional Bilingual Education,Spanish,Español,Special Education,ICT,"383 EAST 139 STREET, BRONX, NY, 10454",383 EAST 139 STREET,Bronx,NY,10454,14
Bronx,7,07X161,P.S. 161 Juan Ponce De Leon School,Elementary,Dual Language,Spanish,Español,General Education,Not Applicable,"628 TINTON AVENUE, BRONX, NY, 10455",628 TINTON AVENUE,Bronx,NY,10455,14
Bronx,7,07X223,The Laboratory School of Finance and Technology: X223,Secondary School,Dual Language,Spanish,Español,General Education,Not Applicable,"360 EAST 145 STREET, BRONX, NY, 10454",360 EAST 145 STREET,Bronx,NY,10454,14
Bronx,7,07X298,Academy of Public Relations,Junior High-Intermediate-Middle,Transitional Bilingual Education,Spanish,Español,Special Education,12:1,"778 FOREST AVENUE, BRONX, NY, 10456",778 FOREST AVENUE,Bronx,NY,10456,14
Bronx,7,07X600,Alfred E. Smith Career and Technical Education High School,High school,Transitional Bilingual Education,Spanish,Español,General Education,Not Applicable,"333 EAST 151 STREET, BRONX, NY, 10451",333 EAST 151 STREET,Bronx,NY,10451,14
Bronx,8,08X048,P.S. 048 Joseph R. Drake,Elementary,Dual Language,Spanish,Español,General Education,Not Applicable,"1290 SPOFFORD AVENUE, BRONX, NY, 10474",1290 SPOFFORD AVENUE,Bronx,NY,10474,7
Bronx,8,08X123,J.H.S. 123 James M. Kieran,Junior High-Intermediate-Middle,Transitional Bilingual Education,Spanish,Español,General Education,Not Applicable,"1025 MORRISON AVENUE, BRONX, NY, 10472",1025 MORRISON AVENUE,Bronx,NY,10472,7
Bronx,8,08X152,P.S. 152 Evergreen,Elementary,Dual Language,Spanish,Español,General Education,Not Applicable,"1007 EVERGREEN AVENUE, BRONX, NY, 10472",1007 EVERGREEN AVENUE,Bronx,NY,10472,7
Bronx,8,08X333,The Longwood Academy of Discovery,Elementary,Dual Language,Spanish,Español,General Education,Not Applicable,"888 REV J A POLITE AVE, BRONX, NY, 10459",888 REV J A POLITE AVE,Bronx,NY,10459,7
Bronx,8,08X432,Bronx Bridges High School,High school,Transitional Bilingual Education,Spanish,Español,General Education,Not Applicable,"1980 LAFAYETTE AVENUE, BRONX, NY, 10473",1980 LAFAYETTE AVENUE,Bronx,NY,10473,7
Bronx,8,08X432,Bronx Bridges High School,High school,Transitional Bilingual Education,Spanish,Español,Special Education,ICT,"1980 LAFAYETTE AVENUE, BRONX, NY, 10473",1980 LAFAYETTE AVENUE,Bronx,NY,10473,7
Bronx,8,08X448,Soundview Academy for Culture and Scholarship,Junior High-Intermediate-Middle,Dual Language,Spanish,Español,General Education,Not Applicable,"885 BOLTON AVENUE, BRONX, NY, 10473",885 BOLTON AVENUE,Bronx,NY,10473,7
Bronx,9,09X011,P.S. 011 Highbridge,Elementary,Dual Language,Spanish,Español,General Education,Not Applicable,"1257 OGDEN AVENUE, BRONX, NY, 10452",1257 OGDEN AVENUE,Bronx,NY,10452,33
Bronx,9,09X022,J.H.S. 022 Jordan L. Mott,Junior High-Intermediate-Middle,Transitional Bilingual Education,Spanish,Español,General Education,Not Applicable,"270 EAST 167 STREET, BRONX, NY, 10456",270 EAST 167 STREET,Bronx,NY,10456,33
Bronx,9,09X028,P.S. 028 Mount Hope,Elementary,Transitional Bilingual Education,Spanish,Español,General Education,Not Applicable,"1861 ANTHONY AVENUE, BRONX, NY, 10457",1861 ANTHONY AVENUE,Bronx,NY,10457,33
Bronx,9,09X035,P.S. 035 Franz Siegel,Elementary,Transitional Bilingual Education,Spanish,Español,General Education,Not Applicable,"261 EAST 163 STREET, BRONX, NY, 10451",261 EAST 163 STREET,Bronx,NY,10451,33
Bronx,9,09X053,P.S. 053 Basheer Quisim,Elementary,Dual Language,Spanish,Español,General Education,Not Applicable,"360 EAST 168 STREET, BRONX, NY, 10456",360 EAST 168 STREET,Bronx,NY,10456,33
Bronx,9,09X053,P.S. 053 Basheer Quisim,Elementary,Transitional Bilingual Education,Spanish,Español,General Education,Not Applicable,"360 EAST 168 STREET, BRONX, NY, 10456",360 EAST 168 STREET,Bronx,NY,10456,33
Bronx,9,09X058,P.S. 058,Elementary,Transitional Bilingual Education,Spanish,Español,General Education,Not Applicable,"459 EAST 176 STREET, BRONX, NY, 10457",459 EAST 176 STREET,Bronx,NY,10457,33
Bronx,9,09X070,P.S. 070 Max Schoenfeld,Elementary,Dual Language,Spanish,Español,General Education,Not Applicable,"1691 WEEKS AVENUE, BRONX, NY, 10457",1691 WEEKS AVENUE,Bronx,NY,10457,33
Bronx,9,09X073,P.S. 073 Bronx,Elementary,Dual Language,Spanish,Español,General Education,Not Applicable,"1020 ANDERSON AVENUE, BRONX, NY, 10452",1020 ANDERSON AVENUE,Bronx,NY,10452,33
Bronx,9,09X109,P.S. 109 Sedgwick,Elementary,Dual Language,Spanish,Español,General Education,Not Applicable,"1771 POPHAM AVENUE, BRONX, NY, 10453",1771 POPHAM AVENUE,Bronx,NY,10453,33
Bronx,9,09X110,P.S. 110 Theodore Schoenfeld,Elementary,Dual Language,Spanish,Español,General Education,Not Applicable,"580 CROTONA PARK SOUTH, BRONX, NY, 10456",580 CROTONA PARK SOUTH,Bronx,NY,10456,33
Bronx,9,09X114,P.S. X114 - Luis Llorens Torres Schools,Elementary,Transitional Bilingual Education,Spanish,Español,General Education,Not Applicable,"1155 CROMWELL AVENUE, BRONX, NY, 10452",1155 CROMWELL AVENUE,Bronx,NY,10452,33
Bronx,9,09X117,I.S. 117 Joseph H. Wade,Junior High-Intermediate-Middle,Transitional Bilingual Education,Spanish,Español,General Education,Not Applicable,"1865 MORRIS AVENUE, BRONX, NY, 10453",1865 MORRIS AVENUE,Bronx,NY,10453,33
Bronx,9,09X126,P.S. 126 Dr Marjorie H Dunbar,Elementary,Transitional Bilingual Education,Spanish,Español,General Education,Not Applicable,"175 WEST 166 STREET, BRONX, NY, 10452",175 WEST 166 STREET,Bronx,NY,10452,33
Bronx,9,09X126,P.S. 126 Dr Marjorie H Dunbar,Elementary,Transitional Bilingual Education,Spanish,Español,Special Education,12:1:1,"175 WEST 166 STREET, BRONX, NY, 10452",175 WEST 166 STREET,Bronx,NY,10452,33
Bronx,9,09X163,P.S. 163 Arthur A. Schomburg,Elementary,Transitional Bilingual Education,Spanish,Español,General Education,Not Applicable,"2075 WEBSTER AVENUE, BRONX, NY, 10457",2075 WEBSTER AVENUE,Bronx,NY,10457,33
Bronx,9,09X170,P.S. 170,Early Childhood,Dual Language,Spanish,Español,General Education,Not Applicable,"1598 TOWNSEND AVENUE, BRONX, NY, 10452",1598 TOWNSEND AVENUE,Bronx,NY,10452,33
Bronx,9,09X199,P.S. 199X - The Shakespeare School,Elementary,Transitional Bilingual Education,Spanish,Español,General Education,Not Applicable,"1449 SHAKESPEARE AVENUE, BRONX, NY, 10452",1449 SHAKESPEARE AVENUE,Bronx,NY,10452,33
Bronx,9,09X218,P.S./I.S. 218 Rafael Hernandez Dual Language Magnet School,K-8,Dual Language,Spanish,Español,General Education,Not Applicable,"1220 GERARD AVENUE, BRONX, NY, 10452",1220 GERARD AVENUE,Bronx,NY,10452,33
Bronx,9,09X218,P.S./I.S. 218 Rafael Hernandez Dual Language Magnet School,K-8,Dual Language,Spanish,Español,Special Education,ICT,"1220 GERARD AVENUE, BRONX, NY, 10452",1220 GERARD AVENUE,Bronx,NY,10452,33
Bronx,9,09X219,I.S. 219 New Venture School,Junior High-Intermediate-Middle,Transitional Bilingual Education,Spanish,Español,General Education,Not Applicable,"3630 THIRD AVENUE, BRONX, NY, 10456",3630 THIRD AVENUE,Bronx,NY,10456,33
Bronx,9,09X232,I.S. 232,Junior High-Intermediate-Middle,Transitional Bilingual Education,Spanish,Español,General Education,Not Applicable,"1700 MACOMBS ROAD, BRONX, NY, 10453",1700 MACOMBS ROAD,Bronx,NY,10453,33
Bronx,9,09X232,I.S. 232,Junior High-Intermediate-Middle,Transitional Bilingual Education,Spanish,Español,Special Education,ICT,"1700 MACOMBS ROAD, BRONX, NY, 10453",1700 MACOMBS ROAD,Bronx,NY,10453,33
